school,close_contact,positive_case,suspected_case,total,date,cluster
Parsons ES,0.0,1.0,0.0,1,12/10/2020,Peachtree Ridge
Patrick ES,3.0,0.0,0.0,3,12/10/2020,Mountain View
Paul Duke STEM HS,2.0,0.0,1.0,3,12/10/2020,Norcross
Peachtree Ridge HS,3.0,0.0,1.0,4,12/10/2020,Peachtree Ridge
Pharr ES,9.0,0.0,0.0,9,12/10/2020,Grayson
Radloff MS,9.0,1.0,0.0,10,12/10/2020,Meadowcreek
Richards MS,14.0,0.0,2.0,16,12/10/2020,Discovery
Riverside ES,1.0,0.0,1.0,2,12/10/2020,North Gwinnett
Roberts ES,2.0,0.0,0.0,2,12/10/2020,North Gwinnett
Rock Springs ES,1.0,0.0,0.0,1,12/10/2020,Collins Hill
Rockbridge ES,3.0,0.0,0.0,3,12/10/2020,Meadowcreek
Rosebud ES,1.0,0.0,0.0,1,12/10/2020,South Gwinnett
Shiloh ES,12.0,0.0,0.0,12,12/10/2020,Shiloh
Shiloh HS,1.0,0.0,0.0,1,12/10/2020,Shiloh
Shiloh MS,2.0,1.0,0.0,3,12/10/2020,Shiloh
Simonton ES,1.0,1.0,0.0,2,12/10/2020,Central Gwinnett
Simpson ES,5.0,0.0,0.0,5,12/10/2020,Norcross
Sugar Hill ES,3.0,1.0,0.0,4,12/10/2020,Lanier
Summerour MS,8.0,1.0,0.0,9,12/10/2020,Norcross
Suwanee ES,2.0,0.0,0.0,2,12/10/2020,North Gwinnett
Sweetwater MS,3.0,1.0,0.0,4,12/10/2020,Berkmar
Trickum MS,1.0,1.0,0.0,2,12/10/2020,Parkview
Trip ES,0.0,0.0,1.0,1,12/10/2020,Grayson
Twin Rivers MS,3.0,0.0,0.0,3,12/10/2020,Mountain View
White Oak ES,8.0,0.0,0.0,8,12/10/2020,Lanier
Winn Holt ES,1.0,0.0,0.0,1,12/10/2020,Central Gwinnett
Woodward Mill ES,3.0,0.0,0.0,3,12/10/2020,Mountain View
Alcova ES,1.0,0.0,0.0,1,2/10/2021,Dacula
Alford ES,2.0,0.0,0.0,2,2/10/2021,Discovery
Annistown ES,2.0,0.0,0.0,2,2/10/2021,Shiloh
Archer HS,2.0,0.0,0.0,2,2/10/2021,Archer
Baggett ES,13.0,1.0,1.0,15,2/10/2021,Discovery
Baldwin ES,2.0,0.0,0.0,2,2/10/2021,Norcross
Bay Creek MS,7.0,1.0,1.0,9,2/10/2021,Grayson
Beaver Ridge ES,3.0,0.0,0.0,3,2/10/2021,Norcross
Benefield ES,1.0,0.0,0.0,1,2/10/2021,Discovery
Berkeley Lake ES,1.0,0.0,2.0,3,2/10/2021,Duluth
Berkmar HS,7.0,3.0,1.0,11,2/10/2021,Berkmar
Berkmar MS,1.0,0.0,2.0,3,2/10/2021,Berkmar
Bethesda ES,8.0,0.0,1.0,9,2/10/2021,Berkmar
Brookwood HS,0.0,0.0,1.0,1,2/10/2021,Brookwood
Burnette ES,2.0,0.0,3.0,5,2/10/2021,North Gwinnett
Centerville ES,1.0,0.0,1.0,2,2/10/2021,Shiloh
Central Gwinnett HS,0.0,2.0,0.0,2,2/10/2021,Central Gwinnett
Chattahoochee ES,2.0,0.0,0.0,2,2/10/2021,Duluth
