school,close_contact,positive_case,suspected_case,total,date,cluster
Shiloh MS,0.0,0.0,1.0,1,10/21/2020,Shiloh
Simonton ES,0.0,0.0,0.0,0,10/21/2020,Central Gwinnett
Simpson ES,14.0,1.0,0.0,15,10/21/2020,Norcross
Snellville MS,1.0,1.0,0.0,2,10/21/2020,South Gwinnett
South Gwinnett HS,5.0,4.0,3.0,12,10/21/2020,South Gwinnett
Starling ES,1.0,0.0,1.0,2,10/21/2020,Grayson
Stripling ES,2.0,0.0,0.0,2,10/21/2020,Norcross
Sugar Hill ES,2.0,0.0,0.0,2,10/21/2020,Lanier
Summerour MS,1.0,0.0,1.0,2,10/21/2020,Norcross
Suwanee ES,12.0,1.0,0.0,13,10/21/2020,North Gwinnett
Sweetwater MS,8.0,0.0,0.0,8,10/21/2020,Berkmar
Sycamore ES,1.0,0.0,0.0,1,10/21/2020,Lanier
Taylor ES,0.0,0.0,0.0,0,10/21/2020,Collins Hill
Trickum MS,3.0,0.0,0.0,3,10/21/2020,Parkview
Trip ES,3.0,0.0,0.0,3,10/21/2020,Grayson
Twin Rivers MS,33.0,1.0,2.0,36,10/21/2020,Mountain View
Walnut Grove ES,0.0,0.0,2.0,2,10/21/2020,Collins Hill
White Oak ES,10.0,0.0,1.0,11,10/21/2020,Lanier
Winn Holt ES,4.0,0.0,2.0,6,10/21/2020,Central Gwinnett
Woodward Mill ES,0.0,0.0,0.0,0,10/21/2020,Mountain View
Alcova ES,10.0,0.0,2.0,12,12/21/2020,Dacula
Alford ES,34.0,1.0,0.0,35,12/21/2020,Discovery
Anderson-Livsey ES,0.0,0.0,0.0,0,12/21/2020,Shiloh
Annistown ES,1.0,1.0,0.0,2,12/21/2020,Shiloh
Arcado ES,2.0,4.0,1.0,7,12/21/2020,Parkview
Archer HS,95.0,4.0,9.0,108,12/21/2020,Archer
Baggett ES,9.0,0.0,0.0,9,12/21/2020,Discovery
Baldwin ES,10.0,0.0,0.0,10,12/21/2020,Norcross
Bay Creek MS,12.0,0.0,1.0,13,12/21/2020,Grayson
Beaver Ridge ES,18.0,2.0,2.0,22,12/21/2020,Norcross
Benefield ES,12.0,2.0,0.0,14,12/21/2020,Discovery
Berkeley Lake ES,6.0,0.0,0.0,6,12/21/2020,Duluth
Berkmar HS,45.0,4.0,4.0,53,12/21/2020,Berkmar
Berkmar MS,18.0,1.0,1.0,20,12/21/2020,Berkmar
Bethesda ES,31.0,1.0,1.0,33,12/21/2020,Berkmar
Britt ES,6.0,0.0,0.0,6,12/21/2020,South Gwinnett
Brookwood ES,15.0,1.0,0.0,16,12/21/2020,Brookwood
Brookwood HS,39.0,5.0,1.0,45,12/21/2020,Brookwood
Buice Center,0.0,0.0,0.0,0,12/21/2020,Other
Burnette ES,14.0,1.0,3.0,18,12/21/2020,North Gwinnett
Camp Creek ES,32.0,2.0,0.0,34,12/21/2020,Parkview
Cedar Hill ES,25.0,1.0,1.0,27,12/21/2020,Discovery
Centerville ES,2.0,0.0,0.0,2,12/21/2020,Shiloh
Central Gwinnett HS,1.0,3.0,3.0,7,12/21/2020,Central Gwinnett
Chattahoochee ES,7.0,0.0,1.0,8,12/21/2020,Duluth
Chesney ES,10.0,1.0,0.0,11,12/21/2020,Duluth
Coleman MS,7.0,1.0,0.0,8,12/21/2020,Duluth
Collins Hill HS,10.0,3.0,3.0,16,12/21/2020,Collins Hill
Cooper ES,39.0,1.0,3.0,43,12/21/2020,Archer
Corley ES,4.0,0.0,0.0,4,12/21/2020,Berkmar
Couch MS,9.0,0.0,3.0,12,12/21/2020,Grayson
Craig ES,13.0,2.0,0.0,15,12/21/2020,Brookwood
